true_values,predicted_values,abs_loss
0.0,0.009,0.009
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.009,0.0,0.009
0.027,0.009,0.018000000000000002
0.041,0.027,0.014000000000000002
0.122,0.041,0.08099999999999999
0.661,0.122,0.539
0.928,0.661,0.267
1.27,0.928,0.34199999999999997
1.232,1.27,0.038000000000000034
0.675,1.232,0.5569999999999999
0.206,0.675,0.4690000000000001
0.06,0.206,0.146
0.048,0.06,0.011999999999999997
0.042,0.048,0.005999999999999998
0.054,0.042,0.011999999999999997
0.093,0.054,0.039
0.391,0.093,0.29800000000000004
0.517,0.391,0.126
0.451,0.517,0.066
0.366,0.451,0.08500000000000002
0.307,0.366,0.059
0.17,0.307,0.13699999999999998
0.074,0.17,0.09600000000000002
0.187,0.074,0.113
0.704,0.187,0.5169999999999999
0.621,0.704,0.08299999999999996
0.571,0.621,0.050000000000000044
0.686,0.571,0.1150000000000001
0.08,0.686,0.6060000000000001
0.0,0.08,0.08
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.001,0.0,0.001
0.018,0.001,0.016999999999999998
0.027,0.018,0.009000000000000001
0.042,0.027,0.015000000000000003
0.086,0.042,0.04399999999999999
0.427,0.086,0.34099999999999997
0.348,0.427,0.07900000000000001
0.089,0.348,0.259
0.071,0.089,0.018000000000000002
0.064,0.071,0.006999999999999992
0.066,0.064,0.0020000000000000018
0.314,0.066,0.248
0.652,0.314,0.338
0.508,0.652,0.14400000000000002
0.125,0.508,0.383
0.077,0.125,0.048
0.071,0.077,0.006000000000000005
0.068,0.071,0.002999999999999989
0.069,0.068,0.0010000000000000009
0.045,0.069,0.024000000000000007
0.014,0.045,0.031
0.0,0.014,0.014
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.027,0.0,0.027
0.048,0.027,0.021
0.074,0.048,0.025999999999999995
0.296,0.074,0.22199999999999998
0.59,0.296,0.294
0.766,0.59,0.17600000000000005
0.879,0.766,0.11299999999999999
0.909,0.879,0.030000000000000027
0.816,0.909,0.09300000000000008
0.577,0.816,0.239
0.351,0.577,0.22599999999999998
0.176,0.351,0.175
0.107,0.176,0.06899999999999999
0.161,0.107,0.054000000000000006
0.281,0.161,0.12000000000000002
0.446,0.281,0.16499999999999998
0.551,0.446,0.10500000000000004
0.66,0.551,0.10899999999999999
0.993,0.66,0.33299999999999996
1.196,0.993,0.20299999999999996
1.083,1.196,0.11299999999999999
0.836,1.083,0.247
0.682,0.836,0.15399999999999991
0.71,0.682,0.027999999999999914
0.729,0.71,0.019000000000000017
0.833,0.729,0.10399999999999998
0.836,0.833,0.0030000000000000027
0.954,0.836,0.118
1.396,0.954,0.44199999999999995
1.94,1.396,0.544
2.361,1.94,0.42100000000000026
1.992,2.361,0.3690000000000002
1.738,1.992,0.254
1.443,1.738,0.29499999999999993
0.993,1.443,0.45000000000000007
0.893,0.993,0.09999999999999998
0.698,0.893,0.19500000000000006
0.577,0.698,0.121
0.494,0.577,0.08299999999999996
0.408,0.494,0.08600000000000002
0.29,0.408,0.118
0.207,0.29,0.08299999999999999
0.248,0.207,0.04100000000000001
0.45,0.248,0.202
0.65,0.45,0.2
0.694,0.65,0.04399999999999993
0.63,0.694,0.06399999999999995
0.635,0.63,0.0050000000000000044
0.604,0.635,0.031000000000000028
0.417,0.604,0.187
0.081,0.417,0.33599999999999997
0.053,0.081,0.028000000000000004
0.033,0.053,0.019999999999999997
0.023,0.033,0.010000000000000002
0.025,0.023,0.0020000000000000018
0.025,0.025,0.0
0.018,0.025,0.007000000000000003
0.0,0.018,0.018
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.018,0.0,0.018
0.044,0.018,0.026
0.078,0.044,0.034
0.233,0.078,0.15500000000000003
0.273,0.233,0.04000000000000001
0.401,0.273,0.128
0.544,0.401,0.14300000000000002
0.756,0.544,0.21199999999999997
0.891,0.756,0.135
1.182,0.891,0.2909999999999999
1.353,1.182,0.17100000000000004
1.502,1.353,0.14900000000000002
1.393,1.502,0.10899999999999999
1.333,1.393,0.06000000000000005
1.328,1.333,0.004999999999999893
1.231,1.328,0.09699999999999998
1.346,1.231,0.11499999999999999
1.513,1.346,0.16699999999999982
1.561,1.513,0.04800000000000004
1.549,1.561,0.01200000000000001
1.709,1.549,0.16000000000000014
2.048,1.709,0.33899999999999997
2.338,2.048,0.29000000000000004
2.811,2.338,0.47299999999999986
3.336,2.811,0.5249999999999999
3.79,3.336,0.4540000000000002
4.214,3.79,0.4240000000000004
3.798,4.214,0.41600000000000037
3.383,3.798,0.41500000000000004
2.852,3.383,0.5310000000000001
2.484,2.852,0.3679999999999999
1.987,2.484,0.4969999999999999
1.723,1.987,0.264
1.29,1.723,0.43300000000000005
1.11,1.29,0.17999999999999994
1.187,1.11,0.07699999999999996
1.302,1.187,0.11499999999999999
1.626,1.302,0.32399999999999984
1.808,1.626,0.18200000000000016
1.818,1.808,0.010000000000000009
1.765,1.818,0.05300000000000016
1.772,1.765,0.007000000000000117
1.734,1.772,0.038000000000000034
1.658,1.734,0.07600000000000007
1.509,1.658,0.14900000000000002
1.307,1.509,0.20199999999999996
1.325,1.307,0.018000000000000016
1.533,1.325,0.20799999999999996
1.771,1.533,0.238
1.808,1.771,0.037000000000000144
1.721,1.808,0.08699999999999997
1.546,1.721,0.17500000000000004
1.389,1.546,0.15700000000000003
1.325,1.389,0.06400000000000006
1.093,1.325,0.23199999999999998
0.858,1.093,0.235
0.741,0.858,0.11699999999999999
0.687,0.741,0.05399999999999994
0.725,0.687,0.03799999999999992
0.691,0.725,0.03400000000000003
0.565,0.691,0.126
0.384,0.565,0.18099999999999994
0.085,0.384,0.299
0.032,0.085,0.053000000000000005
0.0,0.032,0.032
0.065,0.0,0.065
5.847,0.065,5.782
16.0,5.847,10.152999999999999
7.787,16.0,8.213000000000001
0.065,7.787,7.7219999999999995
0.0,0.065,0.065
0.0,0.0,0.0
0.0,0.0,0.0
0.2,0.0,0.2
1.785,0.2,1.585
2.604,1.785,0.8190000000000002
2.959,2.604,0.355
2.208,2.959,0.7509999999999999
1.905,2.208,0.30300000000000016
2.048,1.905,0.14300000000000002
2.093,2.048,0.04499999999999993
2.218,2.093,0.125
2.513,2.218,0.29499999999999993
3.247,2.513,0.734
4.128,3.247,0.8810000000000002
3.66,4.128,0.46799999999999997
1.939,3.66,1.721
1.174,1.939,0.7650000000000001
0.08,1.174,1.0939999999999999
0.034,0.08,0.046
0.056,0.034,0.022
0.086,0.056,0.029999999999999992
0.05,0.086,0.03599999999999999
0.024,0.05,0.026000000000000002
0.022,0.024,0.0020000000000000018
0.016,0.022,0.005999999999999998
0.0,0.016,0.016
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.015,0.0,0.015
0.016,0.015,0.0010000000000000009
0.037,0.016,0.020999999999999998
0.063,0.037,0.026000000000000002
0.045,0.063,0.018000000000000002
0.031,0.045,0.013999999999999999
0.035,0.031,0.0040000000000000036
0.051,0.035,0.015999999999999993
0.075,0.051,0.024
0.135,0.075,0.06000000000000001
0.187,0.135,0.05199999999999999
0.204,0.187,0.016999999999999987
