true_values,predicted_values,abs_loss
2.38,2.392,0.01200000000000001
2.315,2.38,0.06499999999999995
2.256,2.315,0.05900000000000016
2.25,2.256,0.005999999999999783
2.25,2.25,0.0
2.319,2.25,0.06899999999999995
1.927,2.319,0.3919999999999999
1.682,1.927,0.2450000000000001
1.445,1.682,0.23699999999999988
1.109,1.445,0.3360000000000001
0.822,1.109,0.28700000000000003
0.666,0.822,0.15599999999999992
0.518,0.666,0.14800000000000002
0.334,0.518,0.184
0.169,0.334,0.165
0.067,0.169,0.10200000000000001
0.043,0.067,0.024000000000000007
0.021,0.043,0.021999999999999995
0.003,0.021,0.018000000000000002
0.0,0.003,0.003
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.003,0.0,0.003
0.013,0.003,0.009999999999999998
0.02,0.013,0.007000000000000001
0.028,0.02,0.008
0.038,0.028,0.009999999999999998
0.048,0.038,0.010000000000000002
0.06,0.048,0.011999999999999997
0.077,0.06,0.017
0.206,0.077,0.129
0.425,0.206,0.219
0.642,0.425,0.21700000000000003
0.812,0.642,0.17000000000000004
1.013,0.812,0.20099999999999985
1.179,1.013,0.16600000000000015
1.3,1.179,0.121
1.405,1.3,0.10499999999999998
1.465,1.405,0.06000000000000005
1.491,1.465,0.026000000000000023
1.476,1.491,0.015000000000000124
1.505,1.476,0.028999999999999915
1.606,1.505,0.1010000000000002
1.768,1.606,0.16199999999999992
1.949,1.768,0.18100000000000005
2.126,1.949,0.17699999999999982
2.313,2.126,0.18700000000000028
2.44,2.313,0.12699999999999978
2.572,2.44,0.13200000000000012
2.657,2.572,0.08499999999999996
2.72,2.657,0.06300000000000017
2.725,2.72,0.004999999999999893
2.682,2.725,0.04300000000000015
2.623,2.682,0.05899999999999972
2.553,2.623,0.07000000000000028
2.531,2.553,0.021999999999999797
2.579,2.531,0.04800000000000004
2.584,2.579,0.004999999999999893
2.594,2.584,0.009999999999999787
2.621,2.594,0.027000000000000135
2.605,2.621,0.016000000000000014
2.557,2.605,0.04800000000000004
2.466,2.557,0.09099999999999975
2.386,2.466,0.08000000000000007
2.338,2.386,0.04800000000000004
2.337,2.338,0.0009999999999998899
2.348,2.337,0.010999999999999677
2.4,2.348,0.052000000000000046
2.48,2.4,0.08000000000000007
2.496,2.48,0.016000000000000014
2.426,2.496,0.06999999999999984
2.335,2.426,0.09100000000000019
2.314,2.335,0.020999999999999908
2.324,2.314,0.009999999999999787
2.233,2.324,0.09099999999999975
2.129,2.233,0.10400000000000009
2.053,2.129,0.07600000000000007
1.962,2.053,0.09099999999999997
1.883,1.962,0.07899999999999996
1.864,1.883,0.018999999999999906
1.788,1.864,0.07600000000000007
1.546,1.788,0.242
1.354,1.546,0.19199999999999995
1.218,1.354,0.13600000000000012
1.221,1.218,0.0030000000000001137
1.251,1.221,0.029999999999999805
1.285,1.251,0.03400000000000003
1.345,1.285,0.06000000000000005
1.349,1.345,0.0040000000000000036
1.383,1.349,0.03400000000000003
1.469,1.383,0.08600000000000008
1.571,1.469,0.10199999999999987
1.65,1.571,0.07899999999999996
1.706,1.65,0.05600000000000005
1.737,1.706,0.03100000000000014
1.748,1.737,0.010999999999999899
1.774,1.748,0.026000000000000023
1.819,1.774,0.04499999999999993
1.857,1.819,0.038000000000000034
1.826,1.857,0.030999999999999917
