true_values,predicted_values,abs_error
0.198,0.0654017,0.1325983
0.551,0.21975285,0.33124715
1.02,0.8887349,0.1312651
1.227,1.1404042,0.08659577
1.226,1.2396799,0.013679981
1.361,1.1704589,0.19054103
1.753,1.5144575,0.23854256
2.373,1.9952142,0.37778568
2.75,2.6865711,0.06342888
2.292,2.5573287,0.26532865
2.021,1.9731343,0.04786563
2.089,1.9623294,0.1266706
1.984,2.2211952,0.23719525
1.92,1.7969929,0.12300706
2.023,2.1496863,0.12668633
2.408,2.0306244,0.3773756
2.589,3.1430502,0.5540502
2.445,2.0965185,0.34848142
2.449,3.0461557,0.5971558
2.268,1.9906574,0.27734244
2.278,2.8827434,0.60474324
2.32,1.9070725,0.4129274
2.262,3.3679142,1.1059141
2.279,1.6378102,0.6411898
2.312,4.0551796,1.7431796
2.339,1.4834275,0.85557246
2.446,5.0048733,2.5588732
2.526,1.4197944,1.1062056
2.738,6.4030232,3.6650233
2.726,1.4656734,1.2603266
1.898,7.108547,5.2105474
1.389,1.2660092,0.12299085
1.287,1.8187058,0.53170586
1.227,1.4095819,0.1825819
0.914,1.4718916,0.55789167
0.768,0.9422124,0.1742124
0.837,1.0217584,0.18475842
0.916,1.2330384,0.31703842
0.835,1.1476734,0.3126734
0.769,1.0269935,0.25799352
0.64,1.0597131,0.41971314
0.627,0.79155856,0.16455859
0.614,1.0992066,0.48520654
0.518,0.789049,0.27104902
0.586,0.81933856,0.23333853
0.798,1.0743155,0.27631557
0.846,1.2409699,0.39496988
0.726,1.0453376,0.31933755
0.68,0.95915914,0.27915913
0.751,1.0314254,0.28042537
0.915,1.1574838,0.2424838
1.191,1.3567423,0.16574228
1.519,1.6952686,0.17626858
1.813,1.9181134,0.10511339
2.356,2.2012167,0.15478325
3.334,3.1207294,0.21327066
4.021,3.9292574,0.091742516
3.938,4.0339065,0.095906496
3.985,3.6656046,0.3193953
4.452,4.3571434,0.09485674
4.796,4.2326818,0.56331825
5.575,5.5466976,0.028302193
5.583,4.7954564,0.7875438
5.729,6.5030737,0.7740736
5.868,4.134342,1.7336578
5.982,11.73991,5.7579103
5.998,3.3006124,2.6973877
5.732,26.269802,20.537802
5.767,2.0194097,3.7475905
5.9,6.185545,0.28554487
5.87,5.838532,0.031467915
6.632,5.916002,0.7159982
6.984,6.3563666,0.6276336
6.175,6.4952226,0.32022238
6.139,5.8764367,0.26256323
5.957,5.9448996,0.01210022
5.675,5.7756515,0.100651264
4.945,5.5952444,0.65024424
4.27,5.083209,0.81320906
3.716,4.5751443,0.8591442
3.306,4.1145806,0.80858064
3.081,3.8231502,0.74215007
2.066,3.6935098,1.6275098
1.499,3.110388,1.6113881
1.241,2.5641954,1.3231953
0.939,2.3685694,1.4295694
0.896,1.8618135,0.9658135
0.94,2.0490777,1.1090777
1.112,2.023067,0.911067
1.186,2.32076,1.13476
1.286,2.2792335,0.99323344
1.274,2.4240837,1.1500837
1.174,2.3269904,1.1529903
1.053,2.1861086,1.1331086
0.811,2.0228,1.2118
0.767,1.5973148,0.8303148
0.918,1.7082115,0.79021156
1.041,1.905372,0.864372
0.98,1.9716799,0.9916799
0.769,1.7973697,1.0283697
0.675,1.4480523,0.7730523
0.687,1.3951509,0.7081509
0.843,1.3875911,0.5445911
0.971,1.5787472,0.60774714
1.206,1.6138425,0.40784252
1.498,1.8126955,0.31469548
1.464,1.9643209,0.5003209
1.436,1.8316941,0.39569414
1.544,1.7947011,0.25070107
1.862,1.8478017,0.014198303
2.193,2.0571644,0.13583565
2.551,2.2342486,0.31675148
2.761,2.6043737,0.15662622
2.891,2.6389132,0.25208688
3.19,2.8808243,0.30917573
3.01,3.2305489,0.22054887
3.068,2.5737906,0.49420953
5.212,3.4640088,1.7479911
9.24,9.411317,0.1713171
10.366,6.681827,3.684173
5.808,22.955936,17.147936
2.566,2.5236988,0.042301178
1.044,3.1698184,2.1258183
0.343,1.5730903,1.2300904
0.253,0.77665824,0.5236583
0.703,1.013591,0.31059104
1.193,1.7460423,0.5530423
0.916,2.0504835,1.1344835
2.465,1.4801074,0.9848925
3.471,3.409452,0.061547995
2.071,3.2600832,1.1890831
1.228,2.199348,0.9713479
1.666,1.634914,0.031085968
2.858,2.1718502,0.68614984
2.286,3.1829853,0.8969853
1.656,1.9497107,0.2937107
