true_values,predicted_values,abs_error
0.198,0.10909855,0.088901445
0.551,0.2237466,0.3272534
1.02,0.94714606,0.07285392
1.227,1.1843542,0.042645812
1.226,1.2876425,0.061642528
1.361,1.2144351,0.14656484
1.753,1.5694456,0.18355441
2.373,2.0463457,0.3266542
2.75,2.7542856,0.004285574
2.292,2.6232738,0.3312738
2.021,2.0488577,0.02785778
2.089,2.0141478,0.07485223
1.984,2.2762702,0.29227018
1.92,1.8539832,0.06601679
2.023,2.2017298,0.17872977
2.408,2.0838995,0.3241005
2.589,3.207842,0.6188421
2.445,2.1504564,0.2945435
2.449,3.1306925,0.6816926
2.268,2.0287929,0.23920703
2.278,2.988083,0.71008277
2.32,1.9243317,0.39566827
2.262,3.5321698,1.2701697
2.279,1.643662,0.63533807
2.312,4.2916927,1.9796927
2.339,1.4874086,0.85159135
2.446,5.292361,2.8463607
2.526,1.4336498,1.0923502
2.738,6.65859,3.92059
2.726,1.4964104,1.2295897
1.898,7.2157607,5.3177605
1.389,1.3099763,0.07902372
1.287,1.8612912,0.5742912
1.227,1.4689486,0.2419486
0.914,1.5204288,0.6064288
0.768,0.97972083,0.21172082
0.837,1.0501642,0.21316421
0.916,1.2678652,0.35186517
0.835,1.1823094,0.3473094
0.769,1.0531415,0.28414148
0.64,1.0954846,0.45548463
0.627,0.8076953,0.18069535
0.614,1.1506861,0.5366861
0.518,0.7950643,0.27706426
0.586,0.86261225,0.27661222
0.798,1.0973262,0.29932618
0.846,1.2869027,0.44090265
0.726,1.0654842,0.33948416
0.68,0.9930792,0.31307918
0.751,1.0602442,0.30924422
0.915,1.1946375,0.27963752
1.191,1.3934386,0.2024386
1.519,1.7424414,0.22344136
1.813,1.9583268,0.14532685
2.356,2.257147,0.09885287
3.334,3.1549673,0.1790328
4.021,4.0196667,0.0013332367
3.938,4.035238,0.097237825
3.985,3.8412938,0.14370608
4.452,4.216721,0.23527908
4.796,4.704833,0.09116697
5.575,4.6790743,0.8959255
5.583,7.2368727,1.6538725
5.729,3.7629793,1.9660208
5.868,15.660472,9.792472
5.982,2.868126,3.113874
5.998,15.810821,9.81282
5.732,3.2012067,2.5307932
5.767,7.184058,1.417058
5.9,4.815016,1.0849843
5.87,6.385283,0.5152831
6.632,5.459953,1.1720471
6.984,6.469353,0.514647
6.175,6.1659665,0.00903368
6.139,5.622341,0.5166588
5.957,5.7304153,0.22658443
5.675,5.4188643,0.25613594
4.945,5.233507,0.28850698
4.27,4.6171827,0.34718275
3.716,4.2033134,0.48731327
