true_values,predicted_values,abs_error
0.198,0.07935262,0.11864738
0.551,0.23918349,0.3118165
1.02,0.90612525,0.11387473
1.227,1.2134991,0.013500929
1.226,1.302585,0.076585054
1.361,1.2418158,0.11918414
1.753,1.534176,0.21882403
2.373,2.0614786,0.3115213
2.75,2.7502816,0.00028157234
2.292,2.847902,0.555902
2.021,2.2304635,0.2094636
2.089,1.9530593,0.13594067
1.984,2.328783,0.34478307
1.92,1.8918736,0.028126359
2.023,2.0653462,0.04234624
2.408,2.156679,0.25132108
2.589,2.8383975,0.24939752
2.445,2.5569398,0.11193991
2.449,2.5203497,0.07134986
2.268,2.5587707,0.29077077
2.278,2.2566364,0.021363735
2.32,2.507535,0.18753505
2.262,2.3891978,0.12719774
2.279,2.3824725,0.10347247
2.312,2.4322581,0.12025809
2.339,2.4616714,0.122671366
2.446,2.4905496,0.044549465
2.526,2.678534,0.15253401
2.738,2.6550336,0.08296633
2.726,3.1011248,0.3751247
1.898,2.693397,0.79539704
1.389,1.8664223,0.47742224
1.287,1.4590137,0.17201376
1.227,1.6307096,0.40370965
0.914,1.4388566,0.5248566
0.768,1.0346124,0.2666124
0.837,1.1907115,0.3537115
0.916,1.3105574,0.39455736
0.835,1.2678211,0.4328211
0.769,1.097177,0.32817703
0.64,1.1593537,0.51935375
0.627,0.85314095,0.22614098
0.614,1.1922542,0.57825416
0.518,0.84374225,0.32574224
0.586,0.8826699,0.2966699
0.798,1.1349247,0.33692467
0.846,1.2803843,0.4343843
0.726,1.0923748,0.3663748
0.68,0.98349607,0.30349606
0.751,1.0661402,0.3151402
0.915,1.1762648,0.26126474
1.191,1.3755436,0.18454361
1.519,1.6917596,0.17275953
1.813,1.924354,0.11135399
2.356,2.1756296,0.18037033
3.334,3.0188947,0.31510544
4.021,3.9151134,0.10588646
3.938,4.186454,0.24845386
3.985,3.9197037,0.06529617
4.452,4.038557,0.4134431
4.796,4.757599,0.038401127
5.575,4.6490107,0.92598915
5.583,6.0018744,0.41887426
5.729,5.1859655,0.54303455
5.868,5.660592,0.20740795
5.982,5.620806,0.36119366
5.998,5.7908344,0.20716572
5.732,5.7467413,0.014741421
5.767,5.4443293,0.32267094
5.9,5.58729,0.3127103
5.87,5.691272,0.1787281
6.632,5.6090384,1.0229616
6.984,6.730693,0.25330734
6.175,6.6602955,0.4852953
6.139,5.7469206,0.39207935
5.957,5.9942656,0.037265778
5.675,5.671121,0.0038790703
4.945,5.4439535,0.49895334
4.27,4.71766,0.44765997
3.716,4.263433,0.5474329
3.306,3.8114266,0.50542665
3.081,3.440373,0.35937285
2.066,3.2172017,1.1512017
1.499,2.1088576,0.6098577
1.241,1.7620482,0.5210482
0.939,1.622655,0.683655
0.896,1.2291236,0.33312356
0.94,1.6003087,0.66030866
1.112,1.3341973,0.2221973
1.186,2.0004303,0.81443036
1.286,1.3421105,0.0561105
1.274,2.2866461,1.0126461
1.174,1.2478238,0.07382381
1.053,2.0534172,1.0004172
0.811,1.0662043,0.25520432
0.767,1.4375192,0.6705192
0.918,1.1067832,0.18878317
1.041,1.8196547,0.7786547
0.98,1.2381189,0.25811887
0.769,1.5528307,0.7838307
0.675,0.8805512,0.2055512
0.687,1.4029126,0.71591264
0.843,0.9701319,0.12713188
0.971,1.7380706,0.7670706
1.206,1.1523776,0.053622365
1.498,2.2255542,0.7275542
1.464,1.5819197,0.11791968
1.436,1.9810896,0.5450896
1.544,1.5580084,0.014008403
1.862,2.2644095,0.40240955
2.193,2.0872471,0.105752945
2.551,2.9553776,0.40437746
2.761,2.5409217,0.22007823
2.891,3.523985,0.6329849
3.19,2.6387775,0.55122256
3.01,4.4793706,1.4693706
3.068,2.451243,0.61675715
5.212,4.4881544,0.7238455
9.24,5.8103685,3.4296312
10.366,21.665379,11.299378
5.808,4.1406565,1.6673436
2.566,8.450748,5.8847485
1.044,3.0396826,1.9956826
0.343,1.5021398,1.1591399
0.253,0.7405611,0.48756114
0.703,0.96587163,0.26287162
1.193,1.6433504,0.4503504
0.916,1.8917332,0.97573316
2.465,1.3587146,1.1062853
3.471,3.7654152,0.29441524
2.071,3.517425,1.446425
1.228,2.4469037,1.2189037
1.666,1.6554673,0.010532737
2.858,2.1684477,0.6895523
2.286,3.357658,1.0716579
1.656,2.238011,0.58201087
1.522,1.8300633,0.3080634
1.763,1.7164218,0.04657817
2.079,1.9582062,0.12079382
2.316,2.2508607,0.06513929
2.24,2.4421067,0.20210671
2.449,2.2035794,0.24542046
3.299,2.7689562,0.53004384
4.52,3.902046,0.617954
5.234,4.8917065,0.34229374
5.434,5.12154,0.31245995
5.717,5.218387,0.49861288
6.167,5.537144,0.62985563
6.695,5.984123,0.71087694
6.913,6.4738555,0.4391446
6.589,6.649489,0.0604887
6.151,6.2524433,0.10144329
5.962,5.8162107,0.14578915
5.968,5.687616,0.28038406
6.084,5.707144,0.37685633
6.311,5.8357153,0.47528458
6.64,6.0769815,0.5630183
7.067,6.410095,0.6569047
7.415,6.8355865,0.5794134
7.694,7.1798067,0.51419306
7.72,7.4872646,0.23273516
7.894,7.5267754,0.3672247
7.988,7.7318974,0.25610256
7.743,7.835267,0.09226704
7.444,7.4987593,0.054759502
7.426,7.1741133,0.25188684
7.364,7.2172184,0.14678144
7.415,7.125293,0.28970718
7.65,7.2026005,0.44739962
7.815,7.458552,0.35644817
8.19,7.633773,0.55622673
8.381,8.032511,0.3484888
8.451,8.266609,0.18439102
8.599,8.364096,0.23490429
8.746,8.538421,0.20757961
8.798,8.709612,0.08838844
8.501,8.773375,0.27237415
8.202,8.334666,0.13266659
7.947,8.026703,0.079702854
7.445,7.7401266,0.29512644
7.112,7.06358,0.048419952
7.084,6.838276,0.2457242
7.127,6.8468494,0.2801504
6.995,6.8889666,0.106033325
6.282,6.7070084,0.4250083
5.992,5.76505,0.22695017
6.062,5.7748995,0.28710032
6.123,5.840538,0.28246212
6.205,5.8900957,0.3149042
6.039,5.980733,0.058267117
5.962,5.718027,0.24397278
6.567,5.740815,0.82618475
7.308,6.6200147,0.6879854
8.38,7.0738173,1.3061829
9.009,8.11893,0.89006996
9.536,8.647595,0.88840485
9.216,9.327679,0.11167908
5.432,9.272136,3.8401356
1.857,4.233441,2.376441
0.288,2.6740415,2.3860416
2.171,0.0,2.171
6.31,23.599297,17.289297
8.627,2.1934566,6.433543
9.68,8.40011,1.2798901
10.885,8.275495,2.6095057
5.92,9.390652,3.4706516
3.014,5.9835386,2.9695387
3.262,4.8304515,1.5684514
3.416,4.6851044,1.2691045
2.975,4.7243304,1.7493305
2.202,4.500159,2.298159
2.22,3.882141,1.6621411
3.108,4.020815,0.91281486
4.084,4.615586,0.5315857
5.903,5.1618867,0.7411132
7.533,6.830901,0.70209885
7.57,7.705378,0.13537788
7.253,7.858992,0.6059923
6.148,7.548306,1.4003062
4.378,6.588635,2.2106352
4.36,5.452075,1.0920749
5.314,5.431981,0.11798096
4.65,6.2806287,1.6306286
3.625,5.6066604,1.9816604
2.666,4.940085,2.274085
1.93,4.3022118,2.372212
1.598,3.488206,1.8902059
1.629,3.15086,1.5218601
1.544,3.424995,1.8809949
1.519,3.122726,1.6037259
1.344,3.2190833,1.8750833
0.789,2.7921696,2.0031695
0.493,1.5231676,1.0301676
0.38,1.6384841,1.2584841
0.472,1.2036779,0.7316779
0.356,1.7012517,1.3452518
0.16,0.94202626,0.7820263
0.071,0.77538097,0.704381
0.036,0.49119508,0.45519507
0.003,0.32007283,0.31707284
0.0,0.059322506,0.059322506
0.002,0.0,0.002
0.009,0.0,0.009
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0017752647,0.0017752647
0.0,0.0062951148,0.0062951148
0.009,0.010283306,0.0012833066
0.027,0.05157435,0.024574349
0.041,0.09357023,0.05257023
0.122,0.10423535,0.01776465
0.661,0.38423797,0.27676204
0.928,1.5350196,0.60701966
1.27,0.87452304,0.39547694
1.232,1.7851431,0.55314314
0.675,1.0767527,0.40175265
0.206,0.59335417,0.38735417
0.06,0.071393475,0.011393476
0.048,0.31526992,0.2672699
0.042,0.17095104,0.12895104
0.054,0.20889181,0.1548918
0.093,0.23096767,0.13796768
0.391,0.27972925,0.111270756
0.517,1.0535556,0.5365556
0.451,0.50599694,0.054996938
0.366,0.5883702,0.2223702
0.307,0.440777,0.133777
0.17,0.4643449,0.2943449
0.074,0.17795882,0.103958815
0.187,0.22217426,0.03517425
0.704,0.5968833,0.1071167
0.621,1.4361906,0.8151906
0.571,0.557453,0.013547003
0.686,0.7492664,0.0632664
0.08,0.94801235,0.86801237
0.0,0.0,0.0
0.0,0.43109727,0.43109727
0.0,0.011068344,0.011068344
0.0,0.19006062,0.19006062
0.0,0.11822662,0.11822662
0.0,0.08678156,0.08678156
0.0,0.13417125,0.13417125
0.0,0.07188648,0.07188648
0.0,0.106455,0.106455
0.0,0.079992354,0.079992354
0.0,0.083633244,0.083633244
0.0,0.081727594,0.081727594
0.001,0.074781,0.073781
0.018,0.081374764,0.063374765
0.027,0.13954556,0.11254556
0.042,0.10706347,0.06506348
0.086,0.17565417,0.08965417
0.427,0.26941475,0.15758523
0.348,1.1705052,0.8225052
0.089,0.16111729,0.072117284
0.071,0.017155543,0.05384446
0.064,0.3859496,0.3219496
0.066,0.061480597,0.004519403
0.314,0.26797047,0.046029538
0.652,0.9490346,0.29703456
0.508,0.78534555,0.27734554
0.125,0.49147865,0.36647865
0.077,0.0,0.077
0.071,0.4524415,0.3814415
0.068,0.099737644,0.03173764
0.069,0.26259404,0.19359404
0.045,0.20653546,0.16153546
0.014,0.10992685,0.09592685
0.0,0.12323946,0.12323946
0.0,0.08260739,0.08260739
0.0,0.11567178,0.11567178
0.0,0.08820784,0.08820784
0.0,0.09843117,0.09843117
0.0,0.09025085,0.09025085
0.027,0.090330854,0.06333085
0.048,0.20663083,0.15863082
0.074,0.15967244,0.08567244
0.296,0.2601535,0.0358465
0.59,0.89559484,0.30559486
0.766,0.73683476,0.029165208
0.879,1.0355924,0.15659243
0.909,0.96792805,0.058928072
0.816,1.0272729,0.21127295
0.577,0.8337557,0.25675565
0.351,0.58417183,0.23317182
0.176,0.4224497,0.24644971
0.107,0.27919063,0.17219064
0.161,0.33394173,0.17294173
0.281,0.47522396,0.19422397
0.446,0.5811492,0.13514921
0.551,0.7639909,0.21299088
0.66,0.71480566,0.054805636
0.993,0.9130647,0.07993525
1.196,1.3885269,0.19252694
1.083,1.2128837,0.12988377
0.836,1.0905666,0.2545666
0.682,0.8125961,0.1305961
0.71,0.806614,0.096614
0.729,0.9623316,0.23333162
0.833,0.8512545,0.018254519
0.836,1.15014,0.31414002
0.954,0.8757114,0.078288615
1.396,1.3385959,0.05740416
1.94,1.767284,0.17271602
2.361,2.2205157,0.14048433
1.992,2.4499245,0.4579245
1.738,1.7344743,0.003525734
1.443,1.774061,0.331061
0.993,1.3383363,0.34533638
0.893,0.98681664,0.09381664
0.698,1.1256888,0.42768878
0.577,0.72674143,0.14974141
0.494,0.86384475,0.36984476
0.408,0.6618458,0.2538458
0.29,0.6728406,0.3828406
0.207,0.45931545,0.25231546
0.248,0.5128319,0.26483193
0.45,0.6255683,0.17556828
0.65,0.9568217,0.3068217
0.694,0.89430505,0.20030504
0.63,0.8829212,0.25292122
0.635,0.7666999,0.13169992
0.604,0.91128945,0.30728948
0.417,0.73401475,0.31701475
0.081,0.51364017,0.43264017
0.053,0.06697835,0.013978351
0.033,0.6230893,0.5900893
0.023,0.043085933,0.020085933
0.025,0.44461235,0.41961235
0.025,0.12540999,0.10040999
0.018,0.26985818,0.25185817
0.0,0.16736704,0.16736704
0.0,0.121409625,0.121409625
0.0,0.19016665,0.19016665
0.0,0.094318956,0.094318956
0.0,0.1521855,0.1521855
0.0,0.10209933,0.10209933
0.0,0.11512059,0.11512059
0.0,0.10557684,0.10557684
0.0,0.09661621,0.09661621
0.0,0.099657714,0.099657714
0.0,0.08976245,0.08976245
0.0,0.09174229,0.09174229
0.0,0.08630143,0.08630143
0.0,0.085967764,0.085967764
0.018,0.08339277,0.06539277
0.044,0.15907851,0.11507851
0.078,0.17869234,0.10069234
0.233,0.25092795,0.01792796
0.273,0.6598387,0.38683867
0.401,0.256169,0.144831
0.544,0.8988502,0.35485017
0.756,0.58853817,0.16746181
0.891,1.1568298,0.26582986
1.182,0.8778271,0.30417293
1.353,1.6034002,0.2504002
1.502,1.2324531,0.26954687
1.393,1.7357905,0.34279048
1.333,1.1794256,0.15357435
1.328,1.4756756,0.14767563
1.231,1.2779875,0.046987534
1.346,1.2576544,0.08834553
1.513,1.5486252,0.03562522
1.561,1.5619407,0.0009406805
1.549,1.6005416,0.051541567
1.709,1.5508893,0.15811074
2.048,1.9220293,0.12597084
2.338,2.175437,0.16256309
2.811,2.4128447,0.39815545
3.336,3.0742261,0.26177382
3.79,3.3237376,0.46626234
4.214,3.9401193,0.27388096
3.798,4.07786,0.27985978
3.383,3.5667553,0.1837554
2.852,3.232614,0.38061404
2.484,2.695321,0.21132112
1.987,2.3455317,0.3585317
1.723,1.8272204,0.10422039
1.29,1.7444496,0.45444965
1.11,1.2138169,0.10381687
1.187,1.3488871,0.16188705
1.302,1.4539852,0.15198517
1.626,1.531303,0.094697
1.808,2.119704,0.31170404
1.818,1.7304083,0.08759165
1.765,2.107872,0.34287202
1.772,1.6510426,0.120957375
1.734,2.1333838,0.39938378
1.658,1.6001253,0.05787468
1.509,1.9729873,0.46398735
1.307,1.3958795,0.088879466
1.325,1.5532297,0.22822964
1.533,1.5070028,0.025997162
1.771,1.979999,0.20899892
1.808,1.8652642,0.05726421
1.721,1.9896379,0.2686379
1.546,1.7074546,0.16145456
1.389,1.6734705,0.28447044
1.325,1.4640002,0.13900018
1.093,1.5796604,0.48666036
0.858,1.0999706,0.2419706
0.741,1.1155088,0.3745088
0.687,0.9724313,0.28543133
0.725,1.0302271,0.30522704
0.691,1.0918541,0.4008541
0.565,0.9140181,0.3490181
0.384,0.827313,0.443313
0.085,0.5925709,0.5075709
0.032,0.2110988,0.1790988
0.0,0.689121,0.689121
0.065,0.08165085,0.016650856
5.847,0.86467135,4.982329
16.0,30.179129,14.179129
7.787,5.463669,2.3233314
0.065,8.07822,8.013221
0.0,0.0,0.0
0.0,2.0214717,2.0214717
0.0,0.50336325,0.50336325
0.2,0.0,0.2
1.785,0.56520915,1.2197908
2.604,3.4770064,0.87300634
2.959,3.3181305,0.35913038
2.208,3.3498907,1.1418908
1.905,2.5585005,0.65350056
2.048,2.157732,0.10973191
2.093,2.2641883,0.17118835
2.218,2.227159,0.009159088
2.513,2.393281,0.11971903
3.247,2.8654225,0.3815775
4.128,3.8551285,0.27287126
3.66,4.446293,0.7862928
1.939,3.7155368,1.7765368
1.174,2.3272605,1.1532605
0.08,1.4101791,1.3301791
0.034,0.0,0.034
0.056,1.6096082,1.5536082
0.086,0.0,0.086
0.05,0.16234493,0.112344936
0.024,0.12612993,0.10212992
0.022,0.02286452,0.00086452067
0.016,0.11558193,0.09958193
0.0,0.03673005,0.03673005
0.0,0.02283433,0.02283433
0.0,0.059246004,0.059246004
0.0,0.0221878,0.0221878
0.0,0.042865723,0.042865723
0.0,0.036084175,0.036084175
0.0,0.03430441,0.03430441
0.0,0.040010095,0.040010095
0.0,0.036564887,0.036564887
0.0,0.039821416,0.039821416
0.0,0.040475845,0.040475845
0.0,0.041220754,0.041220754
0.0,0.043184996,0.043184996
0.0,0.04397142,0.04397142
0.0,0.045549005,0.045549005
0.0,0.046812534,0.046812534
0.0,0.048072428,0.048072428
0.0,0.04941076,0.04941076
0.0,0.050589025,0.050589025
0.0,0.051799327,0.051799327
0.0,0.05289921,0.05289921
0.0,0.05394882,0.05394882
0.0,0.054908335,0.054908335
0.0,0.0557781,0.0557781
0.0,0.056548446,0.056548446
0.0,0.05720672,0.05720672
0.0,0.05774696,0.05774696
0.0,0.058155462,0.058155462
0.0,0.05842614,0.05842614
0.015,0.058542565,0.043542564
0.016,0.14119953,0.12519953
0.037,0.07168506,0.03468506
0.063,0.22175038,0.15875039
0.045,0.2016621,0.15666209
0.031,0.098154336,0.06715433
0.035,0.11455238,0.07955238
0.051,0.16396561,0.11296561
0.075,0.23965785,0.16465785
0.135,0.23078275,0.09578274
0.187,0.4548363,0.2678363
0.204,0.37897953,0.17497954
0.183,0.4093283,0.22632831
0.25,0.3378142,0.08781421
0.57,0.6526201,0.082620084
1.229,1.2054257,0.023574233
1.384,1.8273692,0.44336927
1.354,1.4209706,0.06697059
1.866,1.5649586,0.30104148
2.145,2.622599,0.4775989
