PCA,Power
8.21167662226737,8.22
8.157691671706443,8.166
8.00574843913401,8.014
7.780817881207114,7.7890000000000015
7.591877721558498,7.6
7.411933552430976,7.42
7.222993571365209,7.231
7.0610476522897425,7.069
6.998085380669887,7.006
6.989078469287849,6.997000000000001
7.006076440689822,7.013999999999999
6.9430925160688695,6.9510000000000005
6.781169716901676,6.789
6.601234082928426,6.609
6.333336518679432,6.341
6.040385711177792,6.047999999999999
5.676481783996153,5.684
5.291546697980174,5.2989999999999995
4.862648456966643,4.87
4.47075206592656,4.478
4.199819094407203,4.207
4.020865287137686,4.0280000000000005
3.908883470828943,3.9160000000000004
3.7729047223341556,3.78
3.5729333796492955,3.58
3.333968640466174,3.341
2.9930153605546344,3.0
2.565074651390948,2.572
2.0891203698973158,2.096
1.7581081560246958,1.765
1.4201185247731918,1.4269999999999998
1.2121114110539548,1.219
1.1041362700536501,1.111
0.9351708258015032,0.942
0.704185578763605,0.711
0.46824121279771336,0.475
0.33651136363338296,0.34299999999999997
0.4759632276388935,0.48200000000000004
0.7553671348091154,0.7609999999999999
1.0705531217957973,1.0759999999999998
1.2245913501060157,1.23
1.1595634561381991,1.165
0.9974830380815974,1.003
0.8783828509190594,0.884
0.8432976788697599,0.8490000000000001
0.8472593166192963,0.853
0.8482529933605271,0.8540000000000001
0.8712500889655557,0.877
0.9252481897891952,0.9309999999999999
1.0402010229563208,1.046
1.1981812047134344,1.204
1.3671218546785373,1.3730000000000002
1.5011225386342466,1.507
1.5890818587584914,1.595
1.6090930285669365,1.615
1.597062711261958,1.6030000000000002
1.524051227406893,1.53
1.46200512259641,1.4680000000000002
1.458976289243581,1.465
1.519929365702939,1.526
1.615942148543464,1.6219999999999999
1.726951540943246,1.733
1.8539615027223875,1.86
1.9539969297597353,1.96
2.023029541166099,2.029
2.065045945527024,2.0709999999999997
2.1420617604170302,2.148
2.3100486031411442,2.316
2.5100293830288836,2.516
2.7210311151731794,2.727
2.9330471643148894,2.9389999999999996
3.155063985484158,3.161
3.394058210654945,3.4
3.6100845433421,3.616
3.653103799864677,3.659
3.5231325841752144,3.529
3.3931088360897146,3.3989999999999996
3.4470376545076897,3.4530000000000003
3.7459422899533608,3.752
4.277849145248853,4.284
4.906733282560144,4.913
5.263712216233297,5.2700000000000005
5.370733651497042,5.377000000000001
5.485723315300298,5.492000000000001
5.778626892830287,5.785
6.136624066452181,6.143
6.337642835976851,6.343999999999999
6.359683286324342,6.3660000000000005
6.274743825782979,6.281000000000001
6.217775363034982,6.224
6.1747805789814585,6.181
6.25373926440548,6.26
6.36870358251466,6.375
6.411679050835562,6.417999999999999
6.283694565451889,6.29
5.984743287199595,5.9910000000000005
5.620593502667144,5.627000000000001
5.3066175439494945,5.313
5.071656022737115,5.078
4.892700359166855,4.899
4.621728114620506,4.628
4.329785329474632,4.336
4.129835243858825,4.136
3.742864855073621,3.7489999999999997
3.563889634233856,3.5700000000000003
3.5589062110712066,3.565
3.748927415196429,3.755
3.813958228107281,3.82
3.9063582563770987,3.912
3.2664109562534587,3.272
3.0014436182129307,3.0069999999999997
2.8164462021524086,2.822
2.8764152775258993,2.8819999999999997
2.8644113245411806,2.87
2.831420542394848,2.8369999999999997
2.8744173164233846,2.88
2.7984240961521865,2.8040000000000003
2.6454372356486746,2.651
2.504431233913644,2.51
2.3794549946717165,2.385
2.30260846257102,2.3080000000000003
2.2696173050816584,2.275
2.193629037311244,2.199
2.135623444209741,2.141
2.0936145814942306,2.099
2.08162365866064,2.0869999999999997
2.142632713526867,2.148
2.244621044512585,2.25
2.3366299646508213,2.342
2.373639149809687,2.379
2.3406418225969836,2.346
2.220655422108245,2.226
2.128892116614786,2.134
2.112928056780932,2.1180000000000003
2.159963591140203,2.165
2.2409768155375125,2.246
2.299975518368397,2.305
2.326979864279491,2.332
2.347983275127616,2.353
2.389965044873094,2.395
2.4389572094759697,2.444
2.4429455078493163,2.448
2.415946677182981,2.4210000000000003
2.3989520629977954,2.404
2.468560627808175,2.474
2.5655596759652597,2.571
2.597540374774049,2.603
2.575544471729404,2.5810000000000004
2.580559209464166,2.5860000000000003
2.6775612665889956,2.6830000000000003
2.8835604314857206,2.889
3.061556495654783,3.0669999999999997
3.169555321390355,3.1750000000000003
3.201557338831855,3.207
3.19053056942044,3.196
3.2445173732898294,3.25
3.32497512158602,3.3310000000000004
3.3849691829728985,3.391
3.43398670754192,3.44
3.4340062299775687,3.44
3.3260640241521124,3.332
3.147115937343196,3.153
2.985176811211596,2.991
2.779212561738412,2.785
2.5792370611872015,2.585
2.3402630503991007,2.346
2.1672341894262064,2.173
2.2151902505048726,2.221
2.5229815033181535,2.529
2.869971695241515,2.8760000000000003
3.085975546457578,3.092
3.182970752949421,3.1889999999999996
3.328933857018284,3.335
3.5459000591068652,3.552
3.642895005695824,3.6489999999999996
3.5779192488223113,3.5839999999999996
3.6649205208440514,3.671
4.061903326533972,4.0680000000000005
